index,i_a,i_b,i_c,u_a,u_b,di_1,di_2
601,-13.34381103515625,-10.06317138671875,22.95684814453125,801.9191284179688,1074.3453369140625,0,0
602,-16.22772216796875,-6.195068359375,21.87347412109375,859.4155883789062,1099.4052734375,0,0
603,-19.38629150390625,-2.03704833984375,20.99609375,917.5183715820312,1111.2279052734375,0,0
604,-21.78955078125,2.777099609375,18.63861083984375,966.9309692382812,1109.0048828125,0,0
605,-22.552490234375,6.7291259765625,15.44952392578125,1012.806884765625,1102.7398681640625,0,0
606,-23.4527587890625,9.94873046875,13.1378173828125,1052.5189208984375,1082.1259765625,0,0
607,-23.5137939453125,13.72528076171875,9.58251953125,1083.9449462890625,1053.63037109375,0,0
608,-21.2860107421875,17.09747314453125,3.9825439453125,1101.0220947265625,1016.747802734375,0,0
609,-19.17266845703125,19.27947998046875,-0.28228759765625,1109.2069091796875,969.96240234375,0,0
610,-17.425537109375,21.58355712890625,-4.21142578125,1106.4786376953125,915.1942749023438,0,0
611,-14.09149169921875,22.95684814453125,-8.85009765625,1091.1192626953125,859.71875,0,0
612,-9.97161865234375,22.6287841796875,-12.63427734375,1070.4044189453125,805.0516357421875,0,0
613,-6.4697265625,22.03369140625,-15.716552734375,1038.9783935546875,745.2310791015625,0,0
614,-2.25067138671875,21.2249755859375,-19.15740966796875,993.809814453125,688.7450561523438,0,0
615,2.47955322265625,18.80645751953125,-21.43096923828125,943.8919677734375,638.3219604492188,0,0
616,6.2408447265625,15.899658203125,-22.247314453125,891.9531860351562,589.8187866210938,0,0
617,9.94110107421875,13.11492919921875,-23.2086181640625,832.3346557617188,547.78271484375,0,0
618,14.0838623046875,9.04083251953125,-23.24676513671875,772.8172607421875,519.5902709960938,0,0
619,17.0440673828125,4.41741943359375,-21.52252197265625,717.3417358398438,499.98687744140625,0,0
620,19.1650390625,0.61798095703125,-19.95086669921875,660.5526123046875,488.56842041015625,0,0
621,21.514892578125,-3.7078857421875,-18.218994140625,607.1990966796875,490.08416748046875,0,0
622,22.76611328125,-8.2550048828125,-14.93072509765625,567.5881958007812,505.5445251464844,0,0
623,22.72796630859375,-11.31439208984375,-11.68060302734375,531.513916015625,524.7437133789062,0,0
624,22.2320556640625,-14.80865478515625,-7.69805908203125,498.2690734863281,551.0162353515625,0,0
625,20.88165283203125,-18.56231689453125,-2.5634765625,487.861083984375,596.8922119140625,0,0
626,18.34869384765625,-20.82061767578125,2.1209716796875,486.64849853515625,646.0016479492188,0,0
